trip_id,pickup_timestamp,area,distance_km,traffic_condition,delivery_time_min,promised_time_min
FD0001,2026-01-16 21:27,West,,High,28.8,35
FD0002,2026-03-22 22:12,East,5.53,High,44.2,35
FD0003,2026-03-07 10:08,Central,5.86,High,51.0,35
FD0004,2026-03-25 03:54,Central,4.16,Moderate,26.3,35
FD0005,2026-07-07 20:24,Central,8.76,Moderate,52.2,35
FD0006,2026-05-26 19:59,Central,8.47,Low,38.5,35
FD0007,2026-06-05 21:19,,12.53,Low,43.4,35
FD0008,2026-05-17 12:35,West,10.03,Low,40.8,35
FD0009,2026-04-30 18:47,South,9.22,Moderate,43.4,35
FD0010,2026-01-19 19:40,West,2.17,Low,12.8,35
FD0011,2026-02-09 06:48,North,14.29,Moderate,60.1,35
FD0012,2026-01-25 08:22,South,7.56,Low,24.3,35
FD0013,2026-05-23 16:05,East,1.21,Moderate,18.1,35
FD0014,2026-05-08 23:14,North,1.78,Low,12.2,35
FD0015,2026-06-30 17:20,West,16.81,Moderate,60.5,35
FD0016,2026-01-22 08:59,South,20.18,High,92.1,35
FD0017,2026-01-28 06:00,West,2.3,Moderate,12.8,35
FD0018,2026-07-18 19:41,East,4.04,Low,17.7,35
FD0019,2026-07-25 01:16,East,6.37,High,54.6,35
FD0020,2026-03-03 01:10,South,3.59,Moderate,32.6,35
FD0021,2026-05-02 01:16,Central,13.78,Low,51.4,35
FD0022,2026-05-28 16:41,North,5.14,Moderate,30.3,35
FD0023,2026-03-04 22:06,Central,5.73,High,40.2,35
FD0024,2026-06-21 23:19,North,13.02,Low,42.4,35
FD0025,2026-01-06 13:27,North,16.34,High,68.5,35
FD0026,2026-04-10 07:21,South,8.63,Low,41.0,35
FD0027,2026-05-08 11:12,South,11.53,Moderate,42.8,35
FD0028,2026-04-29 20:07,East,3.91,High,39.8,35
FD0029,2026-07-18 11:40,South,1.57,Low,10,35
FD0030,2026-07-24 10:36,South,6.31,Low,29.9,35
FD0031,2026-07-02 20:37,Central,13.16,High,70.1,35
FD0032,2026-02-14 18:06,Central,17.68,Low,56.2,35
FD0033,2026-06-10 14:15,East,2.65,Moderate,24.7,35
FD0034,2026-02-02 02:40,Central,12.45,Moderate,51.4,35
FD0035,2026-05-18 16:10,South,6.47,High,41.0,35
FD0036,2026-04-04 04:41,South,8.21,Moderate,44.8,35
